Country,Town,Site Name,Location,Services,Cost,Altitude,Latitude,Longitude,Website URL,Site Type,Comments
Germany,Maria Laach,Maria Laach Abbey,Countryside,"TrashToiletsFresh Water",€5.00,,50.40362,7.25401,http://ourbumble.com/krugzell-to-cologne/,Mixed Parking,"Car park opposite the Abbey close to the Laacher See lake. Probably very busy in summer, campers also allowed next to the campsite 2 miles down the road also €5."
Germany,Sinzig,,Village/Town/City,,€0.00,,50.54651,7.24864,http://ourbumble.com/krugzell-to-cologne/,Mixed Parking,"Small car park in town for both cars and campers, Level gravel surface backing onto small playing field. Very quiet at night. Centre approx 1km away."
Germany,Bonn,,,,€0.00,,50.70961,7.13891,http://ourbumble.com/krugzell-to-cologne/,Rest Area,"Camper only area outside of centre, Next to major road so some noise but not to bad. Pleasant park just down the road."
Germany,Cologne Koln,,,,€0.00,,50.95575,6.97393,http://ourbumble.com/krugzell-to-cologne/,Wild,Park along the riverbank close to the zoo area. Town is 2km away but walkway straight there. Parking all along this stretch but free nearer the zoo end near the road bridge. and €4 per day elsewhere.
Germany,Lubeck,Media ,Village/Town/City,,€6.00,1,53.8716,10.678895,http://ourbumble.com/lack-lustre-lubeck/,Mixed Parking,"Media docks dedicated camper parking located in centre. Hourly rate €1.30 or €6 for the day.  No services but the coach park just opposite does offer toilet facilities. Holds around 12 motorhomes.  Flat, tarmac surface."
Germany,Bosau,,Village/Town/City,,€0.00,20,54.105433,10.427924,http://ourbumble.com/lack-lustre-lubeck/,Mixed Parking,Little village with a number of small parking spaces dotted around the village.
Germany,Ramsau,,Village/Town/City,"Fresh WaterTrashToiletsWi-Fi",€0.00,655,47.605812,12.908802,http://ourbumble.com/lake-jansa-to-lofer/,Mixed Parking,"Tourist information car park. Limited to 2 hours between 8am and 8pm but after 8pm no restrictions.  Toilet behind TI office.  Flat tarmac and reasonable bays for motorhomes.Just off main road but it is a quiet town, so quiet at night."
Germany,Königssee,,Lake,,€5.00,604,47.593066,12.988111,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,"Large car park with motorhome permitted parking to the left behind the garage.  The garage also sells GPL.  Stunning views to hills and lake only 10 minutes walk away.A few grids for emptying grey waste but no toilet facilities.  1 hour, €2 up to €5 for the day."
Germany,Obersalzberg,Documentation Centre,Countryside,Trash,€0.00,933,47.630839,13.041076,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Large car park for visiting the Documentation centre.  P2 is free and no restrictions on overnight  camping.  Reasonably flat but it can run down in places.  If you park near the edge overlooking the centre best views for sunrise.
Germany,Berchtesgadener,,Village/Town/City,,€0.50,619,47.635746,13.005184,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Small carpark right in centre of old town looking up to eagles nest.  €0.50 per hour
Germany,Maria Gern,,Countryside,,€0.00,743,47.653587,13.002803,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Parking on gradient for visiting Maria Gern church.  Please note the car park at the bottom of the road does not permit campers.  
Germany,Bischofswiesen,,Countryside,,€0.00,668,47.643401,12.984513,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,"Big car park for the spa facility but only open during peak season. Out of season people park up and walk to Maria Gern church, which takes around an hour."
Germany,Ruhpolding,,Countryside,,€0.00,690,47.72494,12.658568,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Large gravel car park mainly used by walkers and runners.  Nice and quiet but no amenities.  Lumberjack museum €4 pp.
Germany,Reit im Winkl,,Countryside,"ElectricToiletsTrashBlack WaterGrey WaterFresh Water",€13.00,668,47.669647,12.481615,http://ourbumble.com/lofer-to-krugzell/,Rest Area & Services,"End of autumn and the site is closed but you can use the facilities for €13.00 per night.  Electric is an extra €12.00The grounds and setting are nice but a tad expensive giving everything is shut including reception."
Germany,Oberaudorf,,Countryside,Trash,€0.00,734,47.672002,12.086872,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Loose gravel parking space in middle of country.  Small lake and waterfall. Ideal for walking and hiking.  No limitations for overnight.
Germany,Flintsbach,,Countryside,,€0.00,1009,47.685178,12.056983,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Small loose gravel car park. Ideal for walking or hiking in the area.  Popular with bikers at weekend.  No restrictions.
Germany,Schleirsee,,Lake,,€0.00,759,47.712379,11.869984,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,"Loose gravel car park at the edge of the lake. Just off main road, which can be busy at weekends. As you turn on to the car park you are better to park to the left, as the right hand side is busier with workers."
Germany,Garmisch Partenkirchen,,Village/Town/City,,€0.00,753,47.482513,11.119932,http://ourbumble.com/lofer-to-krugzell/,Wild,"Located just to the side of the sky jump.  Plenty of reasonable priced parking at the ski centre but it is unclear if overnight parking permitted, so we moved to spot just to the side for evening.  €2.50 for 12 hour day ticket."
Germany,Ettal,,Village/Town/City,Fresh Water,€2.00,847,47.567671,11.096769,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,"Small car park at the side of the cemetery.  €1 for 4 hours or €2 for 24 hrs.  No restrictions on parking but you will need you chocks to get level.Water point inside cemetery."
Germany,Oberammergau,,Village/Town/City,Trash,€0.00,829,47.595214,11.063918,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Free car park for cars and buses. Just at the side of the river and only minutes from the village centre.
Germany,Halblech,,Lake,,€0.00,800,47.614006,10.805273,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,Large grass car park at base of cable car.  Great views over countryside and lake. No restrictions.
Germany,Hausern,,Countryside,"TrashFresh Water",€0.00,812,47.607747,10.710263,http://ourbumble.com/lofer-to-krugzell/,Mixed Parking,"Small church lay by.  On a small incline but flat spots in the middle.  Tarmac with trees for shelter. Next to main road, so can be busy.  Water tap at the gate entrance."
Germany,Krugzell,,Countryside,,€0.00,640,47.793868,10.259379,http://ourbumble.com/lofer-to-krugzell/,Wild,"Quiet lay by beside the river.  Tarmac with slight tilt, so need chocs.  Nice views over hills will alps in background."
Germany,Schwedeneck,,Beach,,€0.00,55,54.481912,10.119813,http://ourbumble.com/schloss-and-seaweed/,Mixed Parking,"Parking area near the beach, restaurant at the bottom of the lane/beach access."
Germany,Damp,,Countryside,,€0.00,2,54.578204,10.01705,http://ourbumble.com/schloss-and-seaweed/,Mixed Parking,"Park and ride car park is free but if you need services then right at the end a camper parking at €14 plus electric, water, showers."
Germany,Raesfeld,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToiletsElectric",€8.00,39,51.765465,6.830634,http://ourbumble.com/splendid-schloss-raesfeld/,Rest Area & Services,"Camper parking facility with dedicated bays and hard surface. €8 for 24 hours, €1 for 12h of electricity and €1 for 100 litres water. Grey and black facilities as well as public toilet block.Great location as set within grounds of Raesfeld schloss."
Germany,Raesfeld,,Village/Town/City,,€0.00,57,51.761403,6.826678,http://ourbumble.com/splendid-schloss-raesfeld/,Mixed Parking,Parking next to Raesfeld Schloss. Free level car park also next to the wooded area. Nice spot for walks and visit the Schloss. Full facilities at the aire in the town.
Germany,Ludinghausen,Burg vischering,Village/Town/City,Trash,€0.00,49,51.777597,7.440355,http://ourbumble.com/sunshine-in-schloss-land/,Mixed Parking,Big flat Tarmac car park. Set in the grounds of the castle and free to park. Only 5 minutes walk to the centre of the village.
Germany,Visbek,Rathause,Village/Town/City,,€0.00,41,52.836115,8.31353,http://ourbumble.com/the-hunt-for-the-stone-age-graves/,Mixed Parking,"Small, quiet car park located behind the rathause (townhall). Level, sold ground. Off main road, so no road noise or passing people.  Tap located at the side of the town hall."
Germany,Bad Schachen,,,,€0.00,404,47.563719,9.665825,http://ourbumble.com/,Mixed Parking,Parking at entrance is public but further along is part of restaurant 
Germany,Vogt,,,,€0.00,680,47.776086,9.767604,http://ourbumble.com/,Mixed Parking,Behind townhall
Germany,Wolfegg,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashWi-FiElectricToilets",€0.00,676,47.8159,9.797858,http://ourbumble.com/,Rest Area & Services,"Water is 10c for 8 litres or €1 for 80 litres, electric is on 2 posts and is about 50c per kw, free wifi at the tourist office in town which is 2 minutes away."
Germany,Bad Waldsee,Hymer,,,€0.00,601,47.927745,9.758131,http://ourbumble.com/,Mixed Parking,Service centre with free parking and electric. Toilet facilities and water across road at garage
Germany,Bad Waldsee,,,"Fresh WaterGrey WaterBlack WaterTrashElectric",€5.00,597,47.914167,9.760707,http://ourbumble.com/,Mixed Parking & Services,Located near the spa. Fee is €5 plus €2 pp plus electric and water
Germany,Baach,,,,€0.00,542,48.233821,9.46147,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,788,48.404897,9.256712,http://ourbumble.com/,Mixed Parking,Car park for the castle
Germany,Nurtingrt,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashElectric",€5.00,276,48.636406,9.330619,http://ourbumble.com/,Rest Area,Water is €1 for 50 litres
Germany,Esslingen,Burg Platz,Village/Town/City,Trash,€0.00,311,48.747271,9.310812,http://ourbumble.com/,Rest Area,Large car park with dedicated parking for 3 motorhomes
Germany,Ludwigsburg,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrash",€10.00,292,48.894165,9.19696,http://ourbumble.com/,Rest Area & Services,"Schloss car park with dedicated mh parking, Electric is 50c per kw and water 1c per litre."
Germany,Maulbronn,,,,€0.00,250,48.999156,8.805669,http://ourbumble.com/,Rest Area & Services,"Dedicated mh parking spot with electric, toilet facilities. Max stay 48 hours, Electric & water token available from side of the toilet block costing 1€ for 2kw & 100 litres."
Germany,,Bacharach,Lake,"Fresh WaterGrey WaterBlack WaterTrashElectric",€5.00,76,50.055113,7.772008,http://ourbumble.com/,Rest Area & Services,€5 for parking plus €2.50 for electric
Germany,Goar,,,,€0.00,74,50.144228,7.721437,http://ourbumble.com/,Campsite,Lolibrick
Germany,Alken,,,,€0.00,79,50.251135,7.445801,http://ourbumble.com/,Rest Area,Free parking for mh. Max stay 28 hours. Suitable for up to 6 motorhomes
Germany,Broadenbach,,,,€0.00,73,50.227452,7.445376,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,73,50.227452,7.445376,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,81,50.16899,7.272113,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,81,50.16899,7.272113,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,85,50.154917,7.16862,http://ourbumble.com/,Mixed Parking,Night parking not permitted
Germany,,,,,€0.00,83,50.140497,7.170022,http://ourbumble.com/,Mixed Parking,Parking fee during day
Germany,,,,,€0.00,83,50.138787,7.181828,http://ourbumble.com/,Mixed Parking,
Germany,Ernst,,,,€0.00,85,50.143316,7.219437,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,85,50.143316,7.219437,http://ourbumble.com/,Mixed Parking,
Germany,Ernst,,,,€9.00,85,50.143316,7.219437,http://ourbumble.com/,Rest Area & Services,Behind wine house
Germany,,,,,€0.00,84,50.117571,7.232255,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,91,50.112595,7.21036,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,96,50.093194,7.159895,http://ourbumble.com/,Mixed Parking,
Germany,Eller,,,,€5.00,96,50.099684,7.143584,http://ourbumble.com/,Rest Area & Services,
Germany,Bremm,,,,€0.00,97,50.104444,7.117579,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,92,50.08052,7.131162,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,94,50.054106,7.127293,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,99,50.040577,7.165488,http://ourbumble.com/,Mixed Parking,
Germany,Enkirch,,,,€0.00,103,49.98403,7.121504,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,101,49.94946,7.112078,http://ourbumble.com/,Mixed Parking,
Germany,Krrov,,,,€0.00,106,49.979586,7.089399,http://ourbumble.com/,Mixed Parking,
Germany,Kinheim,,,,€0.00,106,49.97221,7.057183,http://ourbumble.com/,Rest Area & Services,
Germany,,,,,€0.00,113,49.973226,7.05333,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,101,49.978934,7.007627,http://ourbumble.com/,Mixed Parking,
Germany,,,,,€0.00,130,49.905299,6.977685,http://ourbumble.com/,Mixed Parking,
Germany,Mosel,,,,€0.00,130,49.905299,6.977685,http://ourbumble.com/,Rest Area & Services,
Germany,Filzen,,,,€9.00,126,49.905989,6.976883,http://ourbumble.com/,Rest Area & Services,Good pitches and price includes electric and water. Small supermarket in village
Germany,,,,,€0.00,291,49.910394,6.900694,http://ourbumble.com/,Mixed Parking,
Germany,Trier,Treviris,,,€10.60,143,49.741671,6.625037,http://ourbumble.com/,Rest Area & Services,"Water & electric extra. 70c per kw, 10c per 10 litres. Parking charged by the hour and overnight so €10.60 for 24 hours."
Greece,Molos,,Beach,"ToiletsTrashFresh WaterShowers",€0.00,2,38.833475,22.652593,http://ourbumble.com/ancient-world-delphi/,Wild,Gravel area next to beach.
Greece,Thermoplyom,,,"Fresh WaterGrey WaterTrash",€0.00,32,38.796398,22.536036,http://ourbumble.com/ancient-world-delphi/,Mixed Parking & Services,"The hot gates monument, water available at one end of the monument."
Greece,,,,,€0.00,511,38.777286,22.460035,http://ourbumble.com/ancient-world-delphi/,Wild,"Gravel lay by, good as lunch stop with super views."
Greece,Delphi,Museum,,,€0.00,582,38.480227,22.50003,http://ourbumble.com/ancient-world-delphi/,Mixed Parking,"Parking at museum next to main road, not idea and very busy in the day, close to town centre though."
Greece,Delphi,Apollo,Countryside,"Fresh WaterGrey WaterBlack WaterToiletsShowersTrashElectricWi-Fi",€19.00,481,38.48271,22.475638,http://ourbumble.com/ancient-world-delphi/,Campsite,Good campsite with stunning views.
Greece,Chalkoutsi,,Harbour,,€0.00,2,38.332342,23.736165,http://ourbumble.com/autumn-on-the-remote-coves-of-attica-peninsula-greece/,Wild,"Shingly beach to right, harbour to left"
Greece,Oropós,Amphiaraion sanctuary,Countryside,,€0.00,184,38.289692,23.843421,http://ourbumble.com/autumn-on-the-remote-coves-of-attica-peninsula-greece/,Mixed Parking,Limited parking but OK if you get there when it's closed and have to wait.
Greece,,,,,€0.00,17,38.289184,23.930098,http://ourbumble.com/autumn-on-the-remote-coves-of-attica-peninsula-greece/,Wild,On street parking next to little beach. Would be very busy in summer.
Greece,Limiona,,Beach,,€0.00,7,38.28781,23.936653,http://ourbumble.com/autumn-on-the-remote-coves-of-attica-peninsula-greece/,Wild,On street parking next to little beach. Would be very busy in summer.
Greece,Parallia Varnava,,Beach,,€0.00,-9,38.26289,23.977789,http://ourbumble.com/autumn-on-the-remote-coves-of-attica-peninsula-greece/,Wild,On street parking next to pebble beach. Would be busy in summer.
Greece,Nefplio,,Harbour,Trash,€0.00,-6,37.570822,22.800865,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,Large parking area on port and marina
Greece,Nefplio,,Beach,,€0.00,1,37.5904,22.765697,http://ourbumble.com/beginning-modern-greece-nefplion/,Wild,Parking on the beach
Greece,Nea Kios,,,,€0.00,1,37.584242,22.744927,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,Car park close to beach
Greece,Kiveriou,,Beach,"Fresh WaterTrash",€0.00,-5,37.527674,22.731542,http://ourbumble.com/beginning-modern-greece-nefplion/,Wild,"Small pebble area next to marina, water available on roadside."
Greece,Kivario,,,"Fresh WaterGrey WaterBlack WaterTrashToilets",€0.00,13,37.524915,22.72539,http://ourbumble.com/beginning-modern-greece-nefplion/,Service Only,"Large church has fresh water, huge drain and communal toilet facilities under the main entrance"
Greece,,,Countryside,Fresh Water,€0.00,71,37.461725,22.746913,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,"Rest area beside main road, great views"
Greece,Astros,,Beach,"Fresh WaterToiletsTrash",€0.00,4,37.445002,22.747972,http://ourbumble.com/beginning-modern-greece-nefplion/,Wild,Parking by the beach
Greece,Astros,,Beach,"Fresh WaterTrash",€0.00,17,37.406332,22.756618,http://ourbumble.com/beginning-modern-greece-nefplion/,Wild,
Greece,,,Beach,,€0.00,22,37.287922,22.840069,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,Rest area with great views
Greece,Poulithra,,Harbour,,€0.00,1,37.115584,22.902673,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,Parking at a small harbour
Greece,Mari,,Countryside,,€0.00,609,37.030919,22.827534,http://ourbumble.com/beginning-modern-greece-nefplion/,Mixed Parking,"Small car park by a church, not ideal but OK to break a journey."
Greece,Kallikrateia,,Harbour,,€0.00,5,40.24741,23.257158,http://ourbumble.com/caught-rare-meteorological-phenomenon/,Wild,Parking right on the beach.
Greece,Kallikrateia,,Beach,,€0.00,20,40.320708,23.031933,http://ourbumble.com/caught-rare-meteorological-phenomenon/,Wild,Grassy area next to beach
Greece,Thesilonika,,Village/Town/City,"Fresh WaterGrey WaterBlack WaterTrashToiletsElectricWi-Fi",€0.00,27,40.502606,22.971196,http://ourbumble.com/caught-rare-meteorological-phenomenon/,Rest Area & Services,"Free overnight parking at camping shop. Open 9-9 M-F, 9-5 S and shut Sunday"
Greece,Vergina,,Village/Town/City,,€0.00,123,40.484291,22.322508,http://ourbumble.com/footsteps-alexander-great/,Mixed Parking,"Parking for archaeological site. Kiosk at the entrance but clearly shut down, we assume for winter? "
Greece,Agioi Theodoroi,,Countryside,Trash,€0.00,785,39.984732,21.502446,http://ourbumble.com/for-our-eyes-only-meteora/,Wild,"On way to Meteora, On street parking, Only used because it was late, very quiet though."
Greece,Meteora,,Countryside,,€0.00,546,39.725509,21.632287,http://ourbumble.com/for-our-eyes-only-meteora/,Wild,Fantastic spot and views. Water available from the monastery.
Greece,Amfipoli,,,"Grey WaterFresh WaterTrashShowers",€0.00,25,40.775702,23.805293,http://ourbumble.com/greece-shore-thing/,Wild,Parking on the beach Including fresh water and shower.
Greece,,,Beach,Fresh Water,€0.00,-0,40.764127,23.77289,http://ourbumble.com/greece-shore-thing/,Wild,Parking beside the beach
Greece,Agios Georgios,,Beach,"Fresh WaterTrash",€0.00,12,40.757012,23.756207,http://ourbumble.com/greece-shore-thing/,Wild,Small sandy harbour with taverna.
Greece,,Camping Achilles,,,€0.00,11,40.757571,23.750941,http://ourbumble.com/greece-shore-thing/,Campsite,"We have not used it just drove by, cost unknown."
Greece,,,,,€0.00,13,40.75586,23.738024,http://ourbumble.com/greece-shore-thing/,Wild,"Beach parking, bit scruffy."
Greece,,,Beach,"TrashToiletsShowersFresh Water",€0.00,-8,40.747033,23.727895,http://ourbumble.com/greece-shore-thing/,Wild,Access to beach area.
Greece,,Asprovalta Camping,,,€0.00,-11,40.735689,23.716196,http://ourbumble.com/greece-shore-thing/,Campsite,Not used so no comments or price.
Greece,Stavros,,,,€0.00,20,40.712397,23.704576,http://ourbumble.com/greece-shore-thing/,Wild,Parking close to beach.
Greece,Stavros,,,"TrashFresh Water",€0.00,1,40.665423,23.701824,http://ourbumble.com/greece-shore-thing/,Mixed Parking,Parking close to beach.
Greece,Stavros,,,,€0.00,13,40.66368,23.705069,http://ourbumble.com/greece-shore-thing/,Wild,"Recreation area close to beach, some shade too."
Greece,Olympiada,,,Trash,€0.00,8,40.591226,23.787952,http://ourbumble.com/greece-shore-thing/,Mixed Parking,Small harbour side gravel parking
Greece,Olympiada,,Beach,"TrashShowersToilets",€0.00,1,40.585631,23.79614,http://ourbumble.com/greece-shore-thing/,Wild,"Just outside Olympiada, beach side parking"
Greece,,,,,€0.00,0,40.585807,23.795723,http://ourbumble.com/greece-shore-thing/,Wild,"Some areas soft sand, others hard sand. We got stuck in sand!"
Greece,,,Beach,,€0.00,7,40.585788,23.795835,http://ourbumble.com/greece-shore-thing/,Wild,
Greece,,,,,€0.00,259,40.521574,23.823212,http://ourbumble.com/greece-shore-thing/,Wild,
Greece,Aristotelis,Sculpture Beach,Beach,,€0.00,11,40.417749,23.860348,http://ourbumble.com/greece-shore-thing/,Wild,Remote location with odd weird rock
Greece,Ierissos,,,,€0.00,-4,40.410486,23.865138,http://ourbumble.com/greece-shore-thing/,Wild,
Greece,Ierissos,,,,€0.00,15,40.401068,23.877382,http://ourbumble.com/greece-shore-thing/,Mixed Parking,
Greece,Aristotelis,,Beach,,€0.00,37,40.398535,23.883995,http://ourbumble.com/greece-shore-thing/,Wild,
Greece,,,,,€0.00,207,40.387235,23.815692,http://ourbumble.com/greece-shore-thing/,Wild,Stopping point off the main road if your passing. OK for lunch with good views
Greece,Metagitsa,,Beach,,€0.00,14,40.303645,23.694301,http://ourbumble.com/greece-shore-thing/,Wild,Parking next to the beach.
Greece,Ormos Panagias,,Harbour,"TrashFresh Water",€0.00,76,40.235312,23.732057,http://ourbumble.com/greece-shore-thing/,Wild,"Parking on a small marina, Fresh fish available and a few tavernas close by."
Greece,Livrochio,,Beach,,€0.00,-6,40.248161,23.722852,http://ourbumble.com/greece-shore-thing/,Wild,"Secluded bay, water available at Ormos Panagias"
Greece,Livorchio,,Beach,Trash,€0.00,7,40.248335,23.722722,http://ourbumble.com/greece-shore-thing/,Wild,"On beach. Very quiet, water available at Ormos Panagias"
Greece,,,,,€0.00,782,37.082503,22.311035,http://ourbumble.com/hell-autumn-ride-langada-pass/,Mixed Parking,Good place to park up and walk to caves
Greece,Mikri Mantineia,,,,€0.00,-10,36.980156,22.150036,http://ourbumble.com/hell-autumn-ride-langada-pass/,Wild,Straight on beach
Greece,Kitries,,Beach,"Fresh WaterTrashToiletsShowers",€0.00,-3,36.933811,22.144025,http://ourbumble.com/hell-autumn-ride-langada-pass/,Wild,"Small gravel road leading down to beach. Sheltered with trees. Small taverna a few meters away, which closes in winter"
Greece,Santova,,Beach,"Fresh WaterTrashShowers",€0.00,-4,36.94932,22.143393,http://ourbumble.com/hell-autumn-ride-langada-pass/,Wild,Quiet stretch of beach. Pebble and sand. A couple of tavernas. Parking bays on side of road with no restrictions
Greece,Akrogialio,,Beach,Trash,€0.00,-1,36.954065,22.14451,http://ourbumble.com/hell-autumn-ride-langada-pass/,Wild,Pebble cove 
Greece,Kalamata,Yachting club,Harbour,"Fresh WaterGrey WaterBlack WaterTrashToiletsElectricShowers",€0.00,-7,37.024198,22.102232,http://ourbumble.com/hell-autumn-ride-langada-pass/,Mixed Parking & Services,"Marina / Yachting  club. Quiet parking space behind skippers restaurant. Toilets, shower and laundry service. Laundry tokens from marina office or security cabin. Electric points dotted all around site for use by boat owners...we think you can use if you pay but how much, not sure.  Toilets are locked after 6pm but ladies generally left open"
Greece,Nikiti,,Harbour,Fresh Water,€0.00,28,40.218714,23.661807,http://ourbumble.com/hoggin-coast-sithonia/,Mixed Parking,"Great spot on the marina, water available at the begging of the town"
Greece,Spatheis,,,,€0.00,-2,40.17676,23.715566,http://ourbumble.com/hoggin-coast-sithonia/,Campsite,Right on beach
Greece,Elia Nikitis,Camping Mitari,,,€0.00,32,40.145534,23.73822,http://ourbumble.com/hoggin-coast-sithonia/,Campsite,Not used so no comment or costs.
Greece,Kalogrias,,Beach,,€0.00,29,40.133984,23.752764,http://ourbumble.com/hoggin-coast-sithonia/,Wild,
Greece,,,,,€0.00,6,40.099222,23.775199,http://ourbumble.com/hoggin-coast-sithonia/,Wild,Roadside parking at the beach.
Greece,Marmaras,,Beach,"Fresh WaterTrash",€0.00,7,40.090734,23.791439,http://ourbumble.com/hoggin-coast-sithonia/,Wild,"Tarmac section leading on to beach, water available near the old boat area."
Greece,Marmaras,,Beach,,€0.00,23,40.087316,23.792378,http://ourbumble.com/hoggin-coast-sithonia/,Mixed Parking,Right on beach
Greece,Toroni,,Beach,,€0.00,-4,39.986219,23.90238,http://ourbumble.com/hoggin-coast-sithonia/,Mixed Parking,
Greece,Porto Koufo,,Harbour,"TrashFresh Water",€0.00,-2,39.970785,23.919114,http://ourbumble.com/hoggin-coast-sithonia/,Wild,
Greece,Kalamitsi,,Beach,,€0.00,-7,39.990298,23.98977,http://ourbumble.com/hoggin-coast-sithonia/,Wild,On the beach
Greece,Piraeus,Parkopolis,Village/Town/City,Fresh Water,€13.00,36,37.947403,23.645619,http://ourbumble.com/locked-worlds-oldest-city-athens/,Mixed Parking & Services,"Secure car park in town, owner is very friendly and helpful. Waste water can be emptied in a drain around the corner."
Greece,,,,,€0.00,2,36.728601,23.026423,http://ourbumble.com/most-perfect-tranquil-greek-rock-monemvasia/,Wild,"Great wild spot on the beach, water available from the shower. Archaeological site also behind."
Greece,,,,,€0.00,15,36.705841,23.030892,http://ourbumble.com/most-perfect-tranquil-greek-rock-monemvasia/,Wild,Look out to sea
Greece,Monemvasis,,Beach,"Fresh WaterShowers",€0.00,1,36.688397,23.035567,http://ourbumble.com/most-perfect-tranquil-greek-rock-monemvasia/,Mixed Parking,Small gravel area looking out to sea.
Greece,Monemvasis,,Harbour,"TrashFresh WaterElectricToiletsWi-Fi",€0.00,-4,36.686114,23.039606,http://ourbumble.com/most-perfect-tranquil-greek-rock-monemvasia/,Mixed Parking & Services,Parking on the harbour side. Electric on the street light. Toilets across the road in portaloo
Greece,,,Countryside,"Fresh WaterGrey WaterTrashBlack Water",€0.00,89,36.856877,22.783266,http://ourbumble.com/most-perfect-tranquil-greek-rock-monemvasia/,Service Only,Service station.
Greece,Itea,,Harbour,,€0.00,-13,38.431661,22.41994,http://ourbumble.com/secret-lives-greek-monks-1000-years-history/,Mixed Parking,"Large tarmac car park at the edge of town by a harbour wall, beach around corner."
Greece,Antikyra,,,,€0.00,7,38.377765,22.634968,http://ourbumble.com/secret-lives-greek-monks-1000-years-history/,Mixed Parking,On street parking in pretty little town.
Greece,Distomo,Loukas,,,€0.00,484,38.395414,22.74589,http://ourbumble.com/secret-lives-greek-monks-1000-years-history/,Mixed Parking,"Monastery Loukas. Closest main town is Distomo, but actually Located between small villages of Steiri and Kyriakio."
Greece,Mystras,,Countryside,,€0.00,281,37.07094,22.37958,http://ourbumble.com/secret-spartan-path-mount-taygetos/,Wild,Patch of grass at side of orange groves looking up to mountains
Greece,Mystras,,Countryside,"TrashFresh Water",€0.00,314,37.069575,22.377791,http://ourbumble.com/secret-spartan-path-mount-taygetos/,Mixed Parking,Camera museum. Free but no overnight permitted
Greece,Mystras,Site entrance,Countryside,Trash,€0.00,359,37.076749,22.368951,http://ourbumble.com/secret-spartan-path-mount-taygetos/,Mixed Parking,"Two entrances to the site. This is the first gate, which is mid way up the hill. Flat, small carpark with no restriction"
Greece,Epidavros,,Beach,"Fresh WaterTrash",€0.00,0,37.64126,23.159089,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Small pebble cove
Greece,Kalloni,,,,€0.00,8,37.545265,23.303966,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Little fishing marina over looking Megalochori headland
Greece,Troizinia,,,,€0.00,9,37.49523,23.454922,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Spare land with concrete slip over looking lovely Poros
Greece,Plaka,,Beach,,€0.00,6,37.488398,23.469158,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Next to beach
Greece,Pergari,,Beach,,€0.00,4,37.413646,23.454267,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Secluded spot looking out to Hydra 
Greece,Pigadi,,Beach,,€0.00,5,37.411285,23.374194,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Quiet seafront with taverna and a few rooms
Greece,Ermioni,,Beach,"Fresh WaterElectricTrash",€0.00,5,37.406996,23.270958,http://ourbumble.com/step-back-time-argolis-peninsula/,Wild,Large gravel area next to beach
Greece,Ermioni,,Harbour,,€0.00,5,37.386619,23.247166,http://ourbumble.com/step-back-time-argolis-peninsula/,Mixed Parking,Roadside parking next to quay
